Code;HMI Message;Cause;Action;Platforms
1;Outside work area;The work area slopes too much by the boundary wire.;Examine the installation of the boundary wire is installed according to the instructions. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C
1;Outside work area;Interference from metal objects such as fences, reinforcement steel or buried cables.;Move the boundary wire and/or make islands in the work area to increase the signal strength.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C
1;Outside work area;Interference from metal objects such as fences, reinforcement steel or buried cables near the charging station.;Change the position of the charging station.;P14, P22, P2Z, P3
4;Loop sensor problem, front;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P2, P2C
4;Loop sensor problem, front;The front sensor circuit board is damaged or not installed correctly.;Examine the front sensor circuit board and its cabling. Replace if necessary.;P0.05, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12
5;Loop sensor problem, rear;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P1, P10, P12, P14, P15, P16, P2, P2C
8;Wrong PIN code;Incorrect PIN code has been entered. 5 tries are permitted, and the product is then blocked for a period of time.;Enter the correct PIN code. If the PIN code is lost, use the link in the app to send the PIN code to your registered e-mail address. If you have not registered the e-mail address, speak to your authorized service center.;P0.05GA, P0.1, P0.2, P0.3, P12, P15, P2, P2C
8;Wrong PIN code;Incorrect PIN code has been entered. 5 tries are permitted, and the product is then blocked for a period of time.;Enter the correct PIN code. If the PIN code is lost, speak to your authorized service center.;P1, P10
8;Wrong PIN code;Incorrect PIN code has been entered. ;Enter the correct PIN code. If the PIN code is lost, retrieve the PIN code via Autocheck. ;P0.05GA, P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
9;Trapped;The product is blocked in a small area behind a number of obstacles.;Examine and remove if there are obstacles which make it hard for the product to move away from this location.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
10;Upside down;The product is upside down or leaning too much.;Turn the product the right way up.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
20;Wheel motor blocked, right;The right drive wheel is blocked by grass or other objects.;Examine the right drive wheel and remove the grass or other objects.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P2C, P2Z, P3
20;Wheel motor blocked, right;The front right drive wheel is blocked by grass or other objects.;Examine the front right drive wheel and remove the grass or other objects.;P25
21;Wheel motor blocked, left;The left drive wheel is blocked by grass or other objects.;Examine the left drive wheel and remove the grass or other objects.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P2C, P2Z, P3
21;Wheel motor blocked, left;The front left drive wheel is blocked by grass or other objects.;Examine the front left drive wheel and remove the grass or other objects.;P25
22;Wheel drive problem, right;The right drive wheel is blocked by grass or other objects.;Examine the right drive wheel and remove the grass or other objects.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P2C, P2Z, P3
23;Wheel drive problem, left;The left drive wheel is blocked by grass or other objects.;Examine the left drive wheel and remove the grass or other objects.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P2C, P2Z
22;Wheel drive problem, right;The front right drive wheel is blocked by grass or other objects.;Examine the front right drive wheel and remove the grass or other objects.;P25
23;Wheel drive problem, left;The front left drive wheel is blocked by grass or other objects.;Examine the front left drive wheel and remove the grass or other objects.;P25
22;Wheel drive problem, right;The right wheel motor or the cabling to the wheel motor is damaged.;Examine the right wheel motor and check its function when idling. Replace if necessary. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P2C, P2Z, P3
22;Wheel drive problem, right;The front right wheel motor or the cabling to the wheel motor is damaged.;Examine the wheel motor and check its function when idling. Replace if necessary. ;P25
23;Wheel drive problem, left;The left wheel motor or the cabling to the wheel motor is damaged.;Examine the left wheel motor and check its function when idling. Replace if necessary. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P2C, P2Z, P3
23;Wheel drive problem, left;The front left wheel motor or the cabling to the wheel motor is damaged.;Examine the wheel motor and check its function when idling. Replace if necessary. ;P25
22;Wheel drive problem, right;The main circuit board is damaged. ;Examine the main circuit board and replace if necessary. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
23;Wheel drive problem, left;The main circuit board is damaged.;Examine the main circuit board and replace if necessary. ;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
22;Wheel drive problem, right;The motor control circuit board is damaged.;Examine the motor control circuit board and replace if necessary. ;P14, P16, P17, P21, P21NA, P2Z, P3
23;Wheel drive problem, left;The motor control circuit board is damaged.;Examine the motor control circuit board and replace if necessary. ;P14, P16, P17, P21, P21NA, P2Z, P3
22;Wheel drive problem, right;The front motor control circuit board is damaged.;Examine the front motor control circuit board and replace if necessary. ;P25
23;Wheel drive problem, left;The front motor control circuit board is damaged.;Examine the front motor control circuit board and replace if necessary. ;P25
35;Wheel motor overloaded, right;The right drive wheel is blocked by grass or other objects.;Examine the right drive wheel and remove the grass or other objects.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P2C, P2Z, P3
36;Wheel motor overloaded, left;The left drive wheel is blocked by grass or other objects.;Examine the left drive wheel and remove the grass or other objects.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P2C, P2Z, P3
82;Wheel motor blocked, rear right;The rear right drive wheel is blocked by grass or other objects.;Examine the rear right drive wheel and remove the grass or other objects.;P25
83;Wheel motor blocked, rear left;The rear left drive wheel is blocked by grass or other objects.;Examine the rear left drive wheel and remove the grass or other objects.;P25
84;Wheel drive problem, rear right;The rear right drive wheel is blocked by grass or other objects.;Examine the rear right drive wheel and remove the grass or other objects.;P25
84;Wheel drive problem, rear right;The rear right wheel motor or the cabling to the wheel motor is damaged.;Examine the wheel motor and check its function when idling. Replace if necessary.;P25
84;Wheel drive problem, rear right;The rear motor control circuit board is damaged.;Examine the rear motor control circuit board and replace if necessary.;P25
85;Wheel drive problem, rear left;The rear left drive wheel is blocked by grass or other objects.;Examine the rear left drive wheel and remove the grass or other objects.;P25
85;Wheel drive problem, rear left;The rear left wheel motor or the cabling to the wheel motor is damaged.;Examine the wheel motor and check its function when idling. Replace if necessary.;P25
85;Wheel drive problem, rear left;The rear motor control circuit board is damaged.;Examine the rear motor control circuit board and replace if necessary.;P25
40;Limited cutting height range;The cutting height adjustment cannot move.;Examine the cutting height adjustment and remove grass or other objects. If the problem stays, speak to your authorized service center.;P16, P17, P2, P21, P21NA, P25, P2C, P2Z, P3
41;Unexpected cutting height adjustment;The cutting height adjustment cannot move.;Examine the cutting height adjustment and remove grass or other objects. If the problem stays, speak to your authorized service center.;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
42;Limited cutting height range;The cutting height adjustment cannot move.;Examine the cutting height adjustment and remove grass or other objects. If the problem stays, speak to your authorized service center.;P16, P17, P2, P21, P21NA, P2C, P2Z
43;Cutting height problem, drive;The cutting height adjustment cannot move.;Examine the cutting height adjustment and remove grass or other objects. If the problem stays, speak to your authorized service center.;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
44;Cutting height problem, current;The cutting height adjustment cannot move.;Examine the cutting height adjustment and remove grass or other objects. If the problem stays, speak to your authorized service center.;P16, P17, P2, P21, P21NA, P2C, P2Z
45;Cutting height problem, direction;The cutting height adjustment cannot move.;Examine the cutting height adjustment and remove grass or other objects. If the problem stays, speak to your authorized service center.;P16, P17, P2, P21, P21NA, P25, P2C, P2Z
46;Cutting height blocked;The cutting height adjustment cannot move.;Examine the cutting height adjustment and remove grass or other objects. If the problem stays, speak to your authorized service center.;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
47;Cutting height problem;The cutting height adjustment cannot move.;Examine the cutting height adjustment and remove grass or other objects. If the problem stays, speak to your authorized service center.;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
40;Limited cutting height range;The cutting height adjustment motor is damaged or not installed correctly. ;Examine the cutting height adjustment motor and its cabling. Replace if necessary. ;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z
41;Unexpected cutting height adjustment;The cutting height adjustment motor is damaged or not installed correctly. ;Examine the cutting height adjustment motor and its cabling. Replace if necessary. ;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z
42;Limited cutting height range;The cutting height adjustment motor is damaged or not installed correctly. ;Examine the cutting height adjustment motor and its cabling. Replace if necessary. ;P16, P17, P2, P21, P21NA, P2C, P2Z
43;Cutting height problem, drive;The cutting height adjustment motor is damaged or not installed correctly. ;Examine the cutting height adjustment motor and its cabling. Replace if necessary. ;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z
44;Cutting height problem, current;The cutting height adjustment motor is damaged or not installed correctly. ;Examine the cutting height adjustment motor and its cabling. Replace if necessary. ;P16, P17, P2, P21, P21NA, P2C, P2Z
45;Cutting height problem, direction;The cutting height adjustment motor is damaged or not installed correctly. ;Examine the cutting height adjustment motor and its cabling. Replace if necessary. ;P16, P17, P2, P21, P21NA, P25, P2C, P2Z
46;Cutting height blocked;The cutting height adjustment motor is damaged or not installed correctly. ;Examine the cutting height adjustment motor and its cabling. Replace if necessary. ;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z
47;Cutting height problem;The cutting height adjustment motor is damaged or not installed correctly. ;Examine the cutting height adjustment motor and its cabling. Replace if necessary. ;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z
40;Limited cutting height range;The front motor control circuit board is damaged or not installed correctly. ;Examine the front motor control circuit board and its cabling. Replace if necessary. ;P25
41;Unexpected cutting height adjustment;The front motor control circuit board is damaged or not installed correctly. ;Examine the front motor control circuit board and its cabling. Replace if necessary. ;P25
43;Cutting height problem, drive;The front motor control circuit board is damaged or not installed correctly. ;Examine the front motor control circuit board and its cabling. Replace if necessary. ;P25
46;Cutting height blocked;The front motor control circuit board is damaged or not installed correctly. ;Examine the front motor control circuit board and its cabling. Replace if necessary. ;P25
47;Cutting height problem;The front motor control circuit board is damaged or not installed correctly. ;Examine the front motor control circuit board and its cabling. Replace if necessary. ;P25
40;Limited cutting height range;The cutting height circuit board is damaged or not installed correctly. ;Examine the cutting height circuit board and its cabling. Replace if necessary. ;P2, P2C
41;Unexpected cutting height adjustment;The cutting height circuit board is damaged or not installed correctly. ;Examine the cutting height circuit board and its cabling. Replace if necessary. ;P2, P2C
43;Cutting height problem, drive;The cutting height circuit board is damaged or not installed correctly. ;Examine the cutting height circuit board and its cabling. Replace if necessary. ;P2, P2C
44;Cutting height problem, current;The cutting height circuit board is damaged or not installed correctly. ;Examine the cutting height circuit board and its cabling. Replace if necessary. ;P2, P2C
45;Cutting height problem, direction;The cutting height circuit board is damaged or not installed correctly. ;Examine the cutting height circuit board and its cabling. Replace if necessary. ;P2, P2C
46;Cutting height blocked;The cutting height circuit board is damaged or not installed correctly. ;Examine the cutting height circuit board and its cabling. Replace if necessary. ;P2, P2C
47;Cutting height problem;The cutting height circuit board is damaged or not installed correctly. ;Examine the cutting height circuit board and its cabling. Replace if necessary. ;P2, P2C
40;Limited cutting height range;The motor control circuit board is damaged or not installed correctly. ;Examine the motor control circuit board and its cabling. Replace if necessary. ;P16, P17, P21, P2Z
41;Unexpected cutting height adjustment;The motor control circuit board is damaged or not installed correctly. ;Examine the motor control circuit board and its cabling. Replace if necessary. ;P16, P17, P21, P2Z
42;Limited cutting height range;The motor control circuit board is damaged or not installed correctly. ;Examine the motor control circuit board and its cabling. Replace if necessary. ;P16, P17, P21, P2Z
43;Cutting height problem, drive;The motor control circuit board is damaged or not installed correctly. ;Examine the motor control circuit board and its cabling. Replace if necessary. ;P16, P17, P21, P21NA, P2Z
44;Cutting height problem, current;The motor control circuit board is damaged or not installed correctly. ;Examine the motor control circuit board and its cabling. Replace if necessary. ;P16, P17, P21, P2Z
45;Cutting height problem, direction;The motor control circuit board is damaged or not installed correctly. ;Examine the motor control circuit board and its cabling. Replace if necessary. ;P16, P17, P21, P21NA, P25, P2Z
46;Cutting height blocked;The motor control circuit board is damaged or not installed correctly. ;Examine the motor control circuit board and its cabling. Replace if necessary. ;P16, P17, P21, P21NA, P2Z
47;Cutting height problem;The motor control circuit board is damaged or not installed correctly. ;Examine the motor control circuit board and its cabling. Replace if necessary. ;P16, P17, P21, P2Z
40;Limited cutting height range;The cutting height adjustment has been altered without a request from the product.;Do a cutting height calibration.;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
41;Unexpected cutting height adjustment;The cutting height adjustment has been altered without a request from the product.;Do a cutting height calibration.;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
42;Limited cutting height range;The cutting height adjustment has been altered without a request from the product.;Do a cutting height calibration.;P16, P17, P2, P21, P21NA, P2C, P2Z
43;Cutting height problem, drive;The cutting height adjustment has been altered without a request from the product.;Do a cutting height calibration.;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
44;Cutting height problem, current;The cutting height adjustment has been altered without a request from the product.;Do a cutting height calibration.;P16, P17, P2, P21, P21NA, P2C, P2Z
45;Cutting height problem, direction;The cutting height adjustment has been altered without a request from the product.;Do a cutting height calibration.;P16, P17, P2, P21, P21NA, P25, P2C, P2Z
46;Cutting height blocked;The cutting height adjustment has been altered without a request from the product.;Do a cutting height calibration.;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
47;Cutting height problem;The cutting height adjustment has been altered without a request from the product.;Do a cutting height calibration.;P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
37;Charging current too high;The battery is being charged with too high current. The power supply unit is incorrect or damaged.;Examine that the power supply unit and charging station are not damaged. Make sure the that correct power supply unit and charging station are used. Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P22, P25, P2C, P2Z, P3
38;Temporary problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C, P2Z
38;Temporary problem;Communication problems with the cutting system.;Replace the main circuit board.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P15, P2, P2C
38;Temporary problem;Communication problems with the cutting system.;Replace the front motor control circuit board.;P25
38;Temporary problem;Communication problems with the cutting system.;Replace the motor control circuit board.;P14, P16, P17, P21, P21NA, P2Z
38;Temporary problem;Temporary electronic or firmware problem in the product.;Update the firmware via FOTA. ;P0.05H, P14, P16, P17, P21, P21NA, P25, P2Z
38;Temporary problem;Communication problems with the cutting system.;Update the firmware.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C, P2Z
88;Angular sensor problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P25
88;Angular sensor problem;The angle sensor has incorrect values.;Examine the magnetic 3D angle circuit board and the CAN-cable. Replace if necessary.;P25
88;Angular sensor problem;Missing or inverted magnet.;Examine the magnet placed in the pivoting arm. Replace or turn it in the correct way if necessary. ;P25
89;Invalid system configuration;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
